Unnamed: 0,src_airport_code,src_airport_name,src_airport_lat,src_airport_lon,src_airport_ctry,src_airport_rgn,src_airport_sbrgn,dstn_airport_code,dstn_airport_name,dstn_airport_lat,dstn_airport_lon,dstn_airport_ctry,dstn_airport_rgn,dstn_airport_sbrgn,airline,flight_distance,flight_duration,aircraft_model_code,aircraft_model_name,capacity,flow
0,ADD,Addis Ababa Bole International Airport,8.97778,38.7994,Ethiopia,Africa,Sub-Saharan Africa,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,Singapore Airlines,4196,8:53,763,Boeing 767-300,269,0
1,ADL,Adelaide Airport,-34.945,138.531,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3354,7:12,333,Airbus A330-300,440,0
2,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,77W,Boeing 777-300ER,396,0
3,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,772,Boeing 777-200,396,0
4,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2581,5:39,333,Airbus A330-300,440,0
5,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,772,Boeing 777-200,396,0
6,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,77W,Boeing 777-300ER,396,0
7,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,GRU,Guarulhos International Airport,-23.4322,-46.4692,Brazil,Americas,Latin America and the Caribbean,Singapore Airlines,5443,11:23,77W,Boeing 777-300ER,396,0
8,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,MXP,Milan-Malpensa Airport,45.6306,8.72811,Italy,Europe,Southern Europe,Singapore Airlines,447,1:23,77W,Boeing 777-300ER,396,0
9,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6768,14:02,77W,Boeing 777-300ER,396,0
10,BDO,Husein Sastranegara International Airport,-6.90063,107.576,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,620,1:44,319,Airbus A319,160,0
11,BKI,Kota Kinabalu International Airport,5.93721,116.051,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,889,2:16,320,Airbus A320-100/200,180,0
12,BKI,Kota Kinabalu International Airport,5.93721,116.051,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,889,2:16,319,Airbus A319,160,0
13,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,ADD,Addis Ababa Bole International Airport,8.97778,38.7994,Ethiopia,Africa,Sub-Saharan Africa,Singapore Airlines,4196,8:53,763,Boeing 767-300,269,0
14,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,772,Boeing 777-200,396,0
15,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,333,Airbus A330-300,440,0
16,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,763,Boeing 767-300,269,0
17,BLR,Kempegowda International Airport,13.1979,77.7063,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1974,4:26,772,Boeing 777-200,396,0
18,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,CHC,Christchurch International Airport,-43.4894,172.532,New Zealand,Oceania,Australia and New Zealand,Singapore Airlines,1551,3:36,320,Airbus A320-100/200,180,0
19,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,CNJ,Cloncurry Airport,-20.6686,140.504,Australia,Oceania,Australia and New Zealand,Singapore Airlines,919,2:20,E90,Embraer 190,114,0
20,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3814,8:07,333,Airbus A330-300,440,0
21,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2435,5:22,77W,Boeing 777-300ER,396,396
22,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2435,5:22,772,Boeing 777-200,396,396
23,BPN,Sultan Aji Muhammad Sulaiman Airport,-1.26827,116.894,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,908,2:18,319,Airbus A319,160,0
24,BPN,Sultan Aji Muhammad Sulaiman Airport,-1.26827,116.894,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,908,2:18,320,Airbus A320-100/200,180,0
25,BWN,Brunei International Airport,4.9442,114.928,Brunei Darussalam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,793,2:05,773,Boeing 777-300,451,0
26,BWN,Brunei International Airport,4.9442,114.928,Brunei Darussalam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,793,2:05,320,Airbus A320-100/200,180,0
