,src_airport_code,src_airport_name,src_airport_lat,src_airport_lon,src_airport_ctry,src_airport_rgn,src_airport_sbrgn,dstn_airport_code,dstn_airport_name,dstn_airport_lat,dstn_airport_lon,dstn_airport_ctry,dstn_airport_rgn,dstn_airport_sbrgn,airline,flight_distance,flight_duration,aircraft_model_code,aircraft_model_name,capacity
0,ADD,Addis Ababa Bole International Airport,8.97778,38.7994,Ethiopia,Africa,Sub-Saharan Africa,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,Singapore Airlines,4196,8:53,763,Boeing 767-300,269
1,ADL,Adelaide Airport,-34.945,138.531,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3354,7:12,333,Airbus A330-300,440
2,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,77W,Boeing 777-300ER,396
3,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,772,Boeing 777-200,396
4,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2581,5:39,333,Airbus A330-300,440
5,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,772,Boeing 777-200,396
6,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,77W,Boeing 777-300ER,396
7,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,GRU,Guarulhos International Airport,-23.4322,-46.4692,Brazil,Americas,Latin America and the Caribbean,Singapore Airlines,5443,11:23,77W,Boeing 777-300ER,396
8,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,MXP,Milan-Malpensa Airport,45.6306,8.72811,Italy,Europe,Southern Europe,Singapore Airlines,447,1:23,77W,Boeing 777-300ER,396
9,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6768,14:02,77W,Boeing 777-300ER,396
10,BDO,Husein Sastranegara International Airport,-6.90063,107.576,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,620,1:44,319,Airbus A319,160
11,BKI,Kota Kinabalu International Airport,5.93721,116.051,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,889,2:16,320,Airbus A320-100/200,180
12,BKI,Kota Kinabalu International Airport,5.93721,116.051,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,889,2:16,319,Airbus A319,160
13,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,ADD,Addis Ababa Bole International Airport,8.97778,38.7994,Ethiopia,Africa,Sub-Saharan Africa,Singapore Airlines,4196,8:53,763,Boeing 767-300,269
14,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,772,Boeing 777-200,396
15,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,333,Airbus A330-300,440
16,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,879,2:15,763,Boeing 767-300,269
17,BLR,Kempegowda International Airport,13.1979,77.7063,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1974,4:26,772,Boeing 777-200,396
18,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,CHC,Christchurch International Airport,-43.4894,172.532,New Zealand,Oceania,Australia and New Zealand,Singapore Airlines,1551,3:36,320,Airbus A320-100/200,180
19,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,CNJ,Cloncurry Airport,-20.6686,140.504,Australia,Oceania,Australia and New Zealand,Singapore Airlines,919,2:20,E90,Embraer 190,114
20,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3814,8:07,333,Airbus A330-300,440
21,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2435,5:22,77W,Boeing 777-300ER,396
22,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2435,5:22,772,Boeing 777-200,396
23,BPN,Sultan Aji Muhammad Sulaiman Airport,-1.26827,116.894,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,908,2:18,319,Airbus A319,160
24,BPN,Sultan Aji Muhammad Sulaiman Airport,-1.26827,116.894,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,908,2:18,320,Airbus A320-100/200,180
25,BWN,Brunei International Airport,4.9442,114.928,Brunei Darussalam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,793,2:05,773,Boeing 777-300,451
26,BWN,Brunei International Airport,4.9442,114.928,Brunei Darussalam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,793,2:05,320,Airbus A320-100/200,180
27,CAI,Cairo International Airport,30.1219,31.4056,Egypt,Africa,Northern Africa,DXB,Dubai International Airport,25.2528,55.3644,United Arab Emirates,Asia,Western Asia,Singapore Airlines,1500,3:30,333,Airbus A330-300,440
28,CAN,Guangzhou Baiyun International Airport,23.3924,113.299,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1644,3:47,333,Airbus A330-300,440
29,CCU,Netaji Subhas Chandra Bose International Airport,22.6547,88.4467,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1803,4:06,333,Airbus A330-300,440
30,CDG,Paris Charles de Gaulle Airport,49.0097,2.54778,France,Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6660,13:49,388,Airbus A380-800,575
31,CEB,Mactan-Cebu International Airport,10.3075,123.979,Philippines,Asia,South-eastern Asia,DVO,Francisco Bangoy International Airport,7.12552,125.646,Philippines,Asia,South-eastern Asia,Singapore Airlines,247,0:59,320,Airbus A320-100/200,180
32,CEB,Mactan-Cebu International Airport,10.3075,123.979,Philippines,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1504,3:30,320,Airbus A320-100/200,180
33,CEB,Mactan-Cebu International Airport,10.3075,123.979,Philippines,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1504,3:30,738,Boeing 737-800,189
34,CGK,Soekarno–Hatta International Airport,-6.12556,106.656,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,547,1:35,772,Boeing 777-200,396
35,CGK,Soekarno–Hatta International Airport,-6.12556,106.656,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,547,1:35,773,Boeing 777-300,451
36,CHC,Christchurch International Airport,-43.4894,172.532,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5218,10:56,772,Boeing 777-200,396
37,CJB,Coimbatore International Airport,11.03,77.0434,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1964,4:25,320,Airbus A320-100/200,180
38,CKG,Chongqing Jiangbei International Airport,29.7192,106.642,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1966,4:25,320,Airbus A320-100/200,180
39,CKG,Chongqing Jiangbei International Airport,29.7192,106.642,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1966,4:25,319,Airbus A319,160
40,CMB,Bandaranaike International Airport,7.18076,79.8841,Sri Lanka,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1707,3:54,333,Airbus A330-300,440
41,CNJ,Cloncurry Airport,-20.6686,140.504,Australia,Oceania,Australia and New Zealand,BNE,Brisbane Airport,-27.3842,153.117,Australia,Oceania,Australia and New Zealand,Singapore Airlines,919,2:20,E90,Embraer 190,114
42,CNX,Chiang Mai International Airport,18.7668,98.9626,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1250,3:00,320,Airbus A320-100/200,180
43,COK,Cochin International Airport (Nedumbassery Airport),10.152,76.4019,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1988,4:28,320,Airbus A320-100/200,180
44,COK,Cochin International Airport (Nedumbassery Airport),10.152,76.4019,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1988,4:28,738,Boeing 737-800,189
45,COK,Cochin International Airport (Nedumbassery Airport),10.152,76.4019,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1988,4:28,319,Airbus A319,160
46,CPH,Copenhagen Airport,55.6179,12.656,Denmark,Europe,Northern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6190,12:52,772,Boeing 777-200,396
47,CPT,Cape Town International Airport,-33.9648,18.6017,South Africa,Africa,Sub-Saharan Africa,JNB,O. R. Tambo International Airport,-26.1392,28.246,South Africa,Africa,Sub-Saharan Africa,Singapore Airlines,789,2:04,772,Boeing 777-200,396
48,CSX,Changsha Huanghua International Airport,28.1892,113.22,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1950,4:24,320,Airbus A320-100/200,180
49,CTU,Chengdu Shuangliu International Airport,30.5785,103.947,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2018,4:32,320,Airbus A320-100/200,180
50,CTU,Chengdu Shuangliu International Airport,30.5785,103.947,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2018,4:32,319,Airbus A319,160
51,DAC,Hazrat Shahjalal International Airport,23.8433,90.3978,Bangladesh,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1799,4:05,333,Airbus A330-300,440
52,DAD,Da Nang International Airport,16.0439,108.199,Viet Nam,Asia,South-eastern Asia,REP,Siem Reap International Airport (Angkor Int'l),13.4107,103.813,Cambodia,Asia,South-eastern Asia,Singapore Airlines,344,1:11,738,Boeing 737-800,189
53,DAD,Da Nang International Airport,16.0439,108.199,Viet Nam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1054,2:36,738,Boeing 737-800,189
54,DAD,Da Nang International Airport,16.0439,108.199,Viet Nam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1054,2:36,320,Airbus A320-100/200,180
55,DEL,Indira Gandhi International Airport,28.5665,77.1031,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2583,5:39,772,Boeing 777-200,396
56,DEL,Indira Gandhi International Airport,28.5665,77.1031,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2583,5:39,773,Boeing 777-300,451
57,DPS,Ngurah Rai International Airport,-8.74817,115.167,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1038,2:34,772,Boeing 777-200,396
58,DPS,Ngurah Rai International Airport,-8.74817,115.167,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1038,2:34,738,Boeing 737-800,189
59,DRW,Darwin International Airport,-12.4147,130.877,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2073,4:38,320,Airbus A320-100/200,180
60,DVO,Francisco Bangoy International Airport,7.12552,125.646,Philippines,Asia,South-eastern Asia,CEB,Mactan-Cebu International Airport,10.3075,123.979,Philippines,Asia,South-eastern Asia,Singapore Airlines,247,0:59,320,Airbus A320-100/200,180
61,DVO,Francisco Bangoy International Airport,7.12552,125.646,Philippines,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1542,3:35,320,Airbus A320-100/200,180
62,DVO,Francisco Bangoy International Airport,7.12552,125.646,Philippines,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1542,3:35,738,Boeing 737-800,189
63,DXB,Dubai International Airport,25.2528,55.3644,United Arab Emirates,Asia,Western Asia,CAI,Cairo International Airport,30.1219,31.4056,Egypt,Africa,Northern Africa,Singapore Airlines,1500,3:30,333,Airbus A330-300,440
64,DXB,Dubai International Airport,25.2528,55.3644,United Arab Emirates,Asia,Western Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3630,7:45,77W,Boeing 777-300ER,396
65,DXB,Dubai International Airport,25.2528,55.3644,United Arab Emirates,Asia,Western Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3630,7:45,333,Airbus A330-300,440
66,FCO,Rome–Fiumicino International Airport,41.8003,12.2389,Italy,Europe,Southern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6243,12:59,772,Boeing 777-200,396
67,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,JFK,John F. Kennedy International Airport,40.6397,-73.7789,United States of America,Americas,Northern America,Singapore Airlines,3843,8:11,388,Airbus A380-800,575
68,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,LYS,Lyon-Saint-Exupery Airport,45.7256,5.08111,France,Europe,Western Europe,Singapore Airlines,338,1:10,32A,Airbus A320 neo,195
69,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,LYS,Lyon-Saint-Exupery Airport,45.7256,5.08111,France,Europe,Western Europe,Singapore Airlines,338,1:10,733,Boeing 737-300,149
70,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,LYS,Lyon-Saint-Exupery Airport,45.7256,5.08111,France,Europe,Western Europe,Singapore Airlines,338,1:10,735,Boeing 737-500,120
71,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6383,13:15,388,Airbus A380-800,575
72,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6383,13:15,77W,Boeing 777-300ER,396
73,FUK,Fukuoka Airport (Itazuke Air Base),33.5859,130.451,Japan,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2807,6:06,333,Airbus A330-300,440
74,GRU,Guarulhos International Airport,-23.4322,-46.4692,Brazil,Americas,Latin America and the Caribbean,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,Singapore Airlines,5443,11:23,77W,Boeing 777-300ER,396
75,HAN,Noi Bai International Airport,21.2212,105.807,Viet Nam,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1377,3:15,333,Airbus A330-300,440
76,HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915,Hong Kong,Asia,Eastern Asia,SFO,San Francisco International Airport,37.619,-122.375,United States of America,Americas,Northern America,Singapore Airlines,6910,14:19,77W,Boeing 777-300ER,396
77,HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915,Hong Kong,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1593,3:41,77W,Boeing 777-300ER,396
78,HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915,Hong Kong,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1593,3:41,772,Boeing 777-200,396
79,HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915,Hong Kong,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1593,3:41,388,Airbus A380-800,575
80,HKT,Phuket International Airport,8.1132,98.3169,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,608,1:42,320,Airbus A320-100/200,180
81,HKT,Phuket International Airport,8.1132,98.3169,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,608,1:42,738,Boeing 737-800,189
82,HKT,Phuket International Airport,8.1132,98.3169,Thailand,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,608,1:42,319,Airbus A319,160
83,HND,Haneda Airport,35.5533,139.781,Japan,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3291,7:04,333,Airbus A330-300,440
84,HND,Haneda Airport,35.5533,139.781,Japan,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3291,7:04,773,Boeing 777-300,451
85,ICN,Incheon International Airport,37.4633,126.44,"Korea, Republic of",Asia,Eastern Asia,SFO,San Francisco International Airport,37.619,-122.375,United States of America,Americas,Northern America,Singapore Airlines,5642,11:47,77W,Boeing 777-300ER,396
86,ICN,Incheon International Airport,37.4633,126.44,"Korea, Republic of",Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2873,6:14,333,Airbus A330-300,440
87,ICN,Incheon International Airport,37.4633,126.44,"Korea, Republic of",Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2873,6:14,77W,Boeing 777-300ER,396
88,ISL,Istanbul Ataturk Airport,40.9769,28.8146,Türkiye,Asia,Western Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5383,11:15,772,Boeing 777-200,396
89,JED,King Abdulaziz International Airport,21.6796,39.1565,Saudi Arabia,Asia,Western Asia,RUH,King Khalid International Airport,24.9576,46.6988,Saudi Arabia,Asia,Western Asia,Singapore Airlines,529,1:33,333,Airbus A330-300,440
90,JFK,John F. Kennedy International Airport,40.6397,-73.7789,United States of America,Americas,Northern America,FRA,Frankfurt Airport,50.0333,8.57056,Germany,Europe,Western Europe,Singapore Airlines,3843,8:11,388,Airbus A380-800,575
91,JNB,O. R. Tambo International Airport,-26.1392,28.246,South Africa,Africa,Sub-Saharan Africa,CPT,Cape Town International Airport,-33.9648,18.6017,South Africa,Africa,Sub-Saharan Africa,Singapore Airlines,789,2:04,772,Boeing 777-200,396
92,JNB,O. R. Tambo International Airport,-26.1392,28.246,South Africa,Africa,Sub-Saharan Africa,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5375,11:15,772,Boeing 777-200,396
93,JOG,Adisucipto International Airport,-7.78818,110.432,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,771,2:02,320,Airbus A320-100/200,180
94,KCH,Kuching International Airport,1.4847,110.347,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,438,1:22,738,Boeing 737-800,189
95,KCH,Kuching International Airport,1.4847,110.347,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,438,1:22,319,Airbus A319,160
96,KIX,Kansai International Airport,34.4305,135.23,Japan,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3044,6:35,333,Airbus A330-300,440
97,KMG,Kunming Changshui International Airport,25.1019,102.929,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1641,3:46,320,Airbus A320-100/200,180
98,KMG,Kunming Changshui International Airport,25.1019,102.929,China,Asia,Eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1641,3:46,319,Airbus A319,160
99,KTM,Tribhuvan International Airport,27.6966,85.3591,Nepal,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2197,4:53,320,Airbus A320-100/200,180
100,KUL,Kuala Lumpur International Airport,2.74558,101.71,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,184,0:52,333,Airbus A330-300,440
101,LAX,Los Angeles International Airport,33.9425,-118.408,United States of America,Americas,Northern America,NRT,Narita International Airport,35.7653,140.386,Japan,Asia,Eastern Asia,Singapore Airlines,5436,11:22,388,Airbus A380-800,575
102,LAX,Los Angeles International Airport,33.9425,-118.408,United States of America,Americas,Northern America,ORD,Chicago O'Hare International Airport,41.9786,-87.9047,United States of America,Americas,Northern America,Singapore Airlines,1740,3:58,320,Airbus A320-100/200,180
103,LGK,Langkawi International Airport,6.32973,99.7287,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,452,1:24,320,Airbus A320-100/200,180
104,LGK,Langkawi International Airport,6.32973,99.7287,Malaysia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,452,1:24,319,Airbus A319,160
105,LHR,Heathrow Airport,51.4775,-0.461389,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6758,14:00,388,Airbus A380-800,575
106,LHR,Heathrow Airport,51.4775,-0.461389,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6758,14:00,77W,Boeing 777-300ER,396
107,LOP,Lombok International Airport,-8.75732,116.277,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1096,2:41,319,Airbus A319,160
108,LOP,Lombok International Airport,-8.75732,116.277,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1096,2:41,320,Airbus A320-100/200,180
109,MAA,Chennai International Airport,12.99,80.1693,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1816,4:07,333,Airbus A330-300,440
110,MAN,Manchester Airport,53.3537,-2.27495,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,MUC,Munich Airport,48.3538,11.7861,Germany,Europe,Western Europe,Singapore Airlines,701,1:54,77W,Boeing 777-300ER,396
111,MDC,Sam Ratulangi International Airport,1.54926,124.926,Indonesia,Asia,South-eastern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,1445,3:23,320,Airbus A320-100/200,180
112,MEL,Melbourne Airport,-37.6733,144.843,Australia,Oceania,Australia and New Zealand,CHC,Christchurch International Airport,-43.4894,172.532,New Zealand,Oceania,Australia and New Zealand,Singapore Airlines,1498,3:29,320,Airbus A320-100/200,180
113,MEL,Melbourne Airport,-37.6733,144.843,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3746,7:59,77W,Boeing 777-300ER,396
114,MEL,Melbourne Airport,-37.6733,144.843,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3746,7:59,773,Boeing 777-300,451
115,MEL,Melbourne Airport,-37.6733,144.843,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3746,7:59,388,Airbus A380-800,575
116,MEL,Melbourne Airport,-37.6733,144.843,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3746,7:59,333,Airbus A330-300,440
